# tau=beta*t, lambda=exp[(gamma_dot/beta)*tau], sigma_norm=sigma/mu
# tau lambda sigma_over_mu
2.785007803161318463e-01 1.028241516872975936e+00 9.419758524690330370e-02
2.858297482191879402e-01 1.028995388001471945e+00 9.624979391348829905e-02
2.931587161222440896e-01 1.029749811842214147e+00 9.828204358068348689e-02
3.004876840253001835e-01 1.030504788800431948e+00 1.002944725675565946e-01
3.078166519283562774e-01 1.031260319281652071e+00 1.022872186051453636e-01
3.151456198314123713e-01 1.032016403691698336e+00 1.042604188346084315e-01
3.224745877344684652e-01 1.032773042436692101e+00 1.062142098054574546e-01
3.298035556375245592e-01 1.033530235923052931e+00 1.081487274738687776e-01
3.371325235405806531e-01 1.034287984557497930e+00 1.100641072010684618e-01
3.444614914436368025e-01 1.035046288747042187e+00 1.119604837517966939e-01
3.517904593466928964e-01 1.035805148898999883e+00 1.138379912928487864e-01
3.591194272497489903e-01 1.036564565420982964e+00 1.156967633916845400e-01
3.664483951528050842e-01 1.037324538720903133e+00 1.175369330151180003e-01
3.737773630558611782e-01 1.038085069206970523e+00 1.193586325280715371e-01
3.811063309589172721e-01 1.038846157287694805e+00 1.211619936924061003e-01
3.884352988619733660e-01 1.039607803371885186e+00 1.229471476658190732e-01
3.957642667650295154e-01 1.040370007868650415e+00 1.247142250008100306e-01
4.030932346680856093e-01 1.041132771187398998e+00 1.264633556437151085e-01
4.104222025711417032e-01 1.041896093737840534e+00 1.281946689338100964e-01
4.177511704741977971e-01 1.042659975929983718e+00 1.299082936024721913e-01
4.250801383772538911e-01 1.043424418174139001e+00 1.316043577724156644e-01
4.324091062803099850e-01 1.044189420880916819e+00 1.332829889569820403e-01
4.397380741833660789e-01 1.044954984461229142e+00 1.349443140594999146e-01
4.470670420864222283e-01 1.045721109326289033e+00 1.365884593727019758e-01
4.543960099894783222e-01 1.046487795887611094e+00 1.382155505782042548e-01
4.617249778925344161e-01 1.047255044557011461e+00 1.398257127460444116e-01
4.690539457955905100e-01 1.048022855746608473e+00 1.414190703342804167e-01
4.763829136986466040e-01 1.048791229868822672e+00 1.429957471886443565e-01
4.837118816017026979e-01 1.049560167336376360e+00 1.445558665422539135e-01
4.910408495047587918e-01 1.050329668562295149e+00 1.460995510153823285e-01
4.983698174078149412e-01 1.051099733959907079e+00 1.476269226152794878e-01
5.056987853108709796e-01 1.051870363942843278e+00 1.491381027360496048e-01
5.130277532139271290e-01 1.052641558925038190e+00 1.506332121585816364e-01
5.203567211169831674e-01 1.053413319320730013e+00 1.521123710505321303e-01
5.276856890200393169e-01 1.054185645544460259e+00 1.535756989663586425e-01
5.350146569230954663e-01 1.054958538011074198e+00 1.550233148474045031e-01
5.423436248261515047e-01 1.055731997135721745e+00 1.564553370220349571e-01
5.496725927292076541e-01 1.056506023333857014e+00 1.578718832058197685e-01
5.570015606322636925e-01 1.057280617021238545e+00 1.592730705017643134e-01
5.643305285353198419e-01 1.058055778613929965e+00 1.606590154005906879e-01
5.716594964383758803e-01 1.058831508528299770e+00 1.620298337810611722e-01
5.789884643414320298e-01 1.059607807181021988e+00 1.633856409103520702e-01
5.863174322444881792e-01 1.060384674989075293e+00 1.647265514444666290e-01
5.936464001475442176e-01 1.061162112369745447e+00 1.660526794287006946e-01
6.009753680506003670e-01 1.061940119740622857e+00 1.673641382981412573e-01
6.083043359536564054e-01 1.062718697519604794e+00 1.686610408782167891e-01
6.156333038567125548e-01 1.063497846124894730e+00 1.699434993852844966e-01
6.229622717597685932e-01 1.064277565975003004e+00 1.712116254272604832e-01
6.302912396628247427e-01 1.065057857488746373e+00 1.724655300042886030e-01
6.376202075658808921e-01 1.065838721085248686e+00 1.737053235094515313e-01
6.449491754689369305e-01 1.066620157183941542e+00 1.749311157295197205e-01
6.522781433719930799e-01 1.067402166204563629e+00 1.761430158457373829e-01
6.596071112750491183e-01 1.068184748567161613e+00 1.773411324346482187e-01
6.669360791781052678e-01 1.068967904692089688e+00 1.785255734689551177e-01
6.742650470811613062e-01 1.069751635000010914e+00 1.796964463184209659e-01
6.815940149842174556e-01 1.070535939911896328e+00 1.808538577507989575e-01
6.889229828872736050e-01 1.071320819849025607e+00 1.819979139328020135e-01
