# tau=beta*t, lambda=exp[(gamma_dot/beta)*tau], sigma_norm=sigma/mu
# tau lambda sigma_over_mu
7.169842501107553945e-01 1.332149362771283929e+00 1.037547861529079185e+00
7.192749346159016399e-01 1.333370535711769778e+00 1.038681026232239013e+00
7.215656191210477743e-01 1.334592828093807748e+00 1.039805894566108835e+00
7.238563036261939088e-01 1.335816240943582978e+00 1.040922503382650355e+00
7.261469881313401542e-01 1.337040775288221406e+00 1.042030889379421010e+00
7.284376726364862886e-01 1.338266432155790220e+00 1.043131089100235886e+00
7.307283571416325341e-01 1.339493212575299186e+00 1.044223138935824746e+00
7.330190416467786685e-01 1.340721117576700872e+00 1.045307075124483287e+00
7.353097261519249139e-01 1.341950148190893088e+00 1.046382933752728173e+00
7.376004106570710483e-01 1.343180305449717560e+00 1.047450750755942961e+00
7.398910951622172938e-01 1.344411590385962363e+00 1.048510561919023587e+00
7.421817796673634282e-01 1.345644004033362595e+00 1.049562402877021183e+00
7.444724641725095626e-01 1.346877547426600374e+00 1.050606309115783121e+00
7.467631486776558081e-01 1.348112221601306615e+00 1.051642315972587394e+00
7.490538331828019425e-01 1.349348027594061694e+00 1.052670458636778106e+00
7.513445176879481879e-01 1.350584966442395896e+00 1.053690772150397414e+00
7.536352021930943224e-01 1.351823039184791186e+00 1.054703291408813026e+00
7.559258866982405678e-01 1.353062246860680773e+00 1.055708051161343697e+00
7.582165712033867022e-01 1.354302590510451099e+00 1.056705086011882955e+00
7.605072557085329477e-01 1.355544071175442511e+00 1.057694430419519716e+00
7.627979402136790821e-01 1.356786689897949483e+00 1.058676118699154456e+00
7.650886247188252165e-01 1.358030447721221945e+00 1.059650185022114055e+00
7.673793092239714619e-01 1.359275345689467063e+00 1.060616663416766858e+00
7.696699937291175964e-01 1.360521384847848125e+00 1.061575587769126638e+00
7.719606782342638418e-01 1.361768566242486989e+00 1.062526991823464995e+00
7.742513627394099762e-01 1.363016890920464297e+00 1.063470909182910429e+00
7.765420472445562217e-01 1.364266359929821038e+00 1.064407373310053861e+00
7.788327317497023561e-01 1.365516974319558319e+00 1.065336417527544155e+00
7.811234162548486015e-01 1.366768735139639368e+00 1.066258075018686746e+00
7.834141007599947359e-01 1.368021643440989532e+00 1.067172378828035173e+00
7.857047852651408704e-01 1.369275700275497609e+00 1.068079361861982379e+00
7.879954697702871158e-01 1.370530906696016737e+00 1.068979056889350021e+00
7.902861542754332502e-01 1.371787263756365283e+00 1.069871496541972222e+00
7.925768387805794957e-01 1.373044772511327505e+00 1.070756713315281328e+00
7.948675232857256301e-01 1.374303434016654446e+00 1.071634739568885664e+00
7.971582077908718755e-01 1.375563249329065485e+00 1.072505607527149740e+00
7.994488922960180100e-01 1.376824219506247893e+00 1.073369349279767571e+00
8.017395768011641444e-01 1.378086345606859275e+00 1.074225996782337766e+00
8.040302613063103898e-01 1.379349628690527130e+00 1.075075581856932416e+00
8.063209458114565242e-01 1.380614069817850620e+00 1.075918136192665742e+00
8.086116303166027697e-01 1.381879670050401243e+00 1.076753691346259201e+00
8.109023148217489041e-01 1.383146430450723274e+00 1.077582278742603927e+00
8.131929993268951495e-01 1.384414352082335320e+00 1.078403929675322503e+00
8.154836838320412840e-01 1.385683436009730540e+00 1.079218675307326070e+00
8.177743683371875294e-01 1.386953683298378648e+00 1.080026546671369658e+00
8.200650528423336638e-01 1.388225095014725019e+00 1.080827574670605307e+00
8.223557373474797982e-01 1.389497672226193581e+00 1.081621790079134282e+00
8.246464218526260437e-01 1.390771416001186367e+00 1.082409223542552423e+00
8.269371063577721781e-01 1.392046327409084849e+00 1.083189905578499701e+00
8.292277908629184235e-01 1.393322407520250383e+00 1.083963866577200008e+00
8.315184753680645580e-01 1.394599657406026427e+00 1.084731136802004725e+00
8.338091598732108034e-01 1.395878078138737655e+00 1.085491746389930956e+00
8.360998443783569378e-01 1.397157670791692174e+00 1.086245725352196656e+00
8.383905288835031833e-01 1.398438436439181976e+00 1.086993103574757313e+00
8.406812133886493177e-01 1.399720376156483592e+00 1.087733910818834193e+00
8.429718978937954521e-01 1.401003491019859659e+00 1.088468176721447245e+00
8.452625823989416975e-01 1.402287782106559133e+00 1.089195930795938239e+00
